Molecule ChEMBL ID,Smiles,Standard Value,pIC50,Mol,MolWt,LogP,HDonors,HAcceptors
CHEMBL226945,COc1ccc(CN(c2ccc(C#N)cc2)n2cnnc2)cc1OS(N)(=O)=O,12.0,7.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A570>,400.4200000000002,1.2105799999999998,1,8
CHEMBL226893,N#Cc1ccc(N(Cc2ccc(Br)c(OS(N)(=O)=O)c2)n2cnnc2)cc1,3.9,8.4089353929735,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A5E0>,449.29000000000013,1.9644799999999993,1,7
CHEMBL226892,N#Cc1ccc(N(Cc2ccc(F)c(OS(N)(=O)=O)c2)n2cnnc2)cc1,0.77,9.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A650>,388.38400000000007,1.34108,1,7
CHEMBL305483,Nc1ccc(C2(C3CCCC3)CCC(=O)NC2=O)cc1,1200.0,5.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A6C0>,272.34799999999996,2.1334,2,3
CHEMBL305483,Nc1ccc(C2(C3CCCC3)CCC(=O)NC2=O)cc1,31.0,7.508638306165727,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A730>,272.34799999999996,2.1334,2,3
CHEMBL9298,N#Cc1ccc(C2CCCc3cncn32)cc1,1.5,8.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A7A0>,223.279,2.680480000000001,0,2
CHEMBL4071689,C[C@](O)(c1cncc(-n2nc(C(F)(F)F)c3ccccc32)c1)C(F)(F)F,5400.0,5.267606240177032,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A810>,375.272,4.209100000000001,1,3
CHEMBL2058266,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4CCC[C@]35C)[C@@H]1CCC2=O,86.0,7.0655015487564325,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A880>,288.43100000000004,4.119600000000004,0,2
CHEMBL522917,O=c1c([C@@H](c2ccc(Br)cc2)n2ccnc2)coc2ccccc12,49.0,7.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A8F0>,381.2290000000001,4.389700000000002,0,3
CHEMBL158984,O=c1ccoc2cc(Cn3ccnc3)ccc12,100.0,7.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A960>,226.235,2.0378,0,3
CHEMBL225178,O=c1cc(OCCn2ccnc2)c2ccccc2o1,760.0,6.119186407719209,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4A9D0>,256.261,2.0685,0,4
CHEMBL192306,COc1ccc2c(=O)c(-c3ccccc3)c(-n3ccnc3)oc2c1,770.0,6.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AA40>,318.33200000000005,3.654300000000002,0,4
CHEMBL387892,COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1,2820.0,5.549750891680639,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AAB0>,256.26099999999997,2.0463999999999998,0,4
CHEMBL460382,c1cc(CCn2ccnc2)c2ccsc2c1,3560.0,5.448550002027125,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AB20>,228.32000000000002,3.3405000000000022,0,2
CHEMBL376405,c1ccc(C2(n3cnnc3)c3ccccc3-c3ccccc32)cc1,44.0,7.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AB90>,309.37200000000007,4.098700000000003,0,2
CHEMBL225156,COc1ccc2c(-c3ccncc3)cc(=O)oc2c1,27.0,7.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AC00>,253.257,2.863600000000001,0,4
CHEMBL223929,O=c1ccc2ccc(Cn3cncn3)cc2o1,60.0,7.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AC70>,227.223,1.4327999999999999,0,4
CHEMBL175609,COc1ccc2c(c1)CC/C2=C/c1ccncc1,3720.0,5.429457060118103,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4ACE0>,237.302,3.5770000000000017,0,2
CHEMBL29339,CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,95.0,7.022276394711152,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AD50>,288.39099999999996,2.9136000000000006,2,3
CHEMBL158984,O=c1ccoc2cc(Cn3ccnc3)ccc12,100.0,7.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4ADC0>,226.235,2.0378,0,3
CHEMBL176886,CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,7680.0,5.114638779968488,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AE30>,251.32899999999998,3.967100000000003,0,2
CHEMBL104566,CC1CCC(OC(=O)Cc2ccncc2)C1,2000.0,5.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AEA0>,219.284,2.3559,0,3
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,30000.0,4.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AF10>,232.28299999999996,1.3532,2,3
CHEMBL39423,CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21,200.0,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AF80>,398.27900000000005,5.397000000000004,0,1
CHEMBL63297,Fc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1,98.8,7.005243055412372,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4AFF0>,295.317,3.010300000000001,0,3
CHEMBL267668,CCCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,140.0,6.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B060>,354.53400000000005,5.669800000000006,0,2
CHEMBL1645409,O=C(Nc1cccnc1)c1ccc(Br)cc1,0.1,10.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B0D0>,277.121,3.096400000000001,1,2
CHEMBL108425,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1,0.5,9.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B140>,354.211,3.3821800000000017,0,4
CHEMBL430879,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1,100.0,7.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B1B0>,370.394,1.20198,1,7
CHEMBL1672977,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1-c1ccccc1,0.15,9.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B220>,464.4820000000001,3.0080800000000014,1,7
CHEMBL1672982,N#Cc1ccc(-c2cc(N(Cc3ccc(OS(N)(=O)=O)cc3)n3cnnc3)ccc2C#N)cc1,0.75,9.1249387366083,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B290>,471.5020000000001,2.740660000000001,1,8
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,600.0,6.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B300>,210.28000000000003,2.8531000000000004,1,1
CHEMBL24115,COc1cccc2c1CC(Cc1ccncc1)C2,6400.0,5.1938200260161125,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B370>,239.31799999999998,3.0477000000000016,0,2
CHEMBL25059,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,140.0,6.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B3E0>,314.46900000000005,4.723500000000005,0,2
CHEMBL285155,COc1ccc2c(c1)C/C(=C/c1ccncc1)C2=O,5.9,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B450>,251.285,2.912600000000001,0,3
CHEMBL262723,CC12CCC3C(C(=O)C=C4C=CCCC43C)C1CCC2=O,1800.0,5.7447274948966935,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B4C0>,284.399,3.863400000000003,0,2
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,5000.0,5.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B530>,218.25599999999994,1.166,1,3
CHEMBL494315,COc1ccc(Cc2cc3cc(OC)ccc3cc2-c2cncc3ccccc23)cc1,6.0,8.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B5A0>,405.49700000000007,6.663000000000006,0,3
CHEMBL495333,COc1cncc(-c2cc3ccc(OC)cc3cc2Cc2ccccc2)c1,73.0,7.136677139879544,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B610>,355.43700000000007,5.509800000000005,0,3
CHEMBL494713,COc1ccc(Cc2cc3cc(OC)ccc3cc2-c2cccnc2)cc1,92.0,7.036212172654444,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B680>,355.437,5.509800000000005,0,3
CHEMBL438802,COC(=O)c1ccc2cc(-c3cccnc3)ccc2c1,1252.0,5.902395671125589,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B6F0>,263.296,3.6884000000000023,0,3
CHEMBL2058264,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,6.59,8.18111458540599,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B760>,290.447,3.6710000000000025,2,2
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,3000.0,5.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B7D0>,531.4399999999999,4.205800000000003,0,6
CHEMBL382902,COc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,1136.0,5.9446216686249995,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B840>,339.78200000000004,4.3240000000000025,0,4
CHEMBL39434,CSCSC1=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CCC1=O,1200.0,5.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B8B0>,378.6030000000002,5.468800000000005,0,4
CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0.7,9.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B920>,285.31,2.65916,0,4
CHEMBL5184004,CCOc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,0.46,9.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4B990>,353.8090000000001,4.714100000000003,0,4
CHEMBL1200374,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,50.1,7.300162274132754,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BA00>,296.41,4.029500000000003,0,2
CHEMBL220793,CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(Br)cc1)S(C)(=O)=O,50.0,7.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BA70>,415.26500000000004,3.3321000000000023,0,5
CHEMBL40432,C[C@]12CCC(=O)C(SCCl)=C1CCC1C2CC[C@]2(C)C(=O)CCC12,49.0,7.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BAE0>,366.9540000000002,5.344600000000005,0,3
CHEMBL40432,C[C@]12CCC(=O)C(SCCl)=C1CCC1C2CC[C@]2(C)C(=O)CCC12,59.0,7.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BB50>,366.9540000000002,5.344600000000005,0,3
CHEMBL1784803,COc1cc2c(cc1-c1cncn1CCCn1ccnc1C)OCCCO2.Cl,498.0,6.302770657240282,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BBC0>,404.8980000000002,3.7370200000000025,0,5
CHEMBL1784807,COc1ccc(S(=O)(=O)NCCCn2ccnc2)cc1C,61.6,7.210419287835575,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BC30>,309.391,1.5687199999999994,1,4
CHEMBL132072,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,120.0,6.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BCA0>,273.376,3.238000000000002,0,3
CHEMBL489,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,530000.0,3.275724130399211,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BD10>,387.523,5.701700000000005,1,3
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,10000.0,5.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BD80>,232.28299999999996,1.3532,2,3
CHEMBL335541,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C1CCCNC1,5000.0,5.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BDF0>,336.26200000000017,4.228900000000003,2,2
CHEMBL29905,Clc1ccc(C(=C2CN=CNC2)c2ccc(Cl)cc2)cc1,2700.0,5.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BE60>,317.21900000000005,4.426800000000003,1,2
CHEMBL1915154,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1CC(C)C,31.7,7.498940737782249,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BED0>,286.37500000000006,2.723600000000001,1,3
CHEMBL1914466,COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1S(C)(=O)=O,30.5,7.515700160653214,<rdkit.Chem.rdchem.Mol object at 0x000002235CD4BF40>,308.3590000000001,1.0272,1,4
CHEMBL1915172,COC(=O)[C@H]1Cc2c([nH]c3ccccc23)CN1C(=O)NCCc1ccccc1,24.6,7.609064892896621,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98040>,377.44400000000013,3.0199000000000016,2,3
CHEMBL1629800,C[C@]12CCC=C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,50.0,7.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD980B0>,272.43199999999996,4.764300000000004,0,1
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,530000.0,3.275724130399211,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98120>,387.523,5.701700000000005,1,3
CHEMBL1765207,COc1cncc(-c2cc3c4c(c2)CCN4C(=O)CC3)c1,5.0,8.301029995663981,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98190>,280.32699999999994,2.5925000000000002,0,3
CHEMBL1783177,Oc1ccc(C2CC(n3ccnc3)c3ccc4ccccc4c3O2)cc1,181.0,6.7423214251308154,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98200>,342.39800000000014,4.855100000000003,1,3
CHEMBL1303900,Cc1cc(C)c(S(=O)(=O)NCCCn2ccnc2)cc1C,172.0,6.764471553092451,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98270>,307.41900000000004,2.1769600000000002,1,3
CHEMBL446622,CC(C)c1cc(C=O)c([C@@]2(C)CCCC(C)(C)[C@H]2C=O)cc1O,24.5,7.610833915635467,<rdkit.Chem.rdchem.Mol object at 0x000002235CD982E0>,316.441,4.611000000000005,1,3
CHEMBL376832,CC(C)c1cc(C=O)c2c(c1O)[C@H](O)[C@H]1C(C)(C)CCC[C@]21C,10.3,7.987162775294828,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98350>,316.44100000000014,4.459100000000004,2,3
CHEMBL376834,COc1cc2c(cc1C(C)C)C(=O)C[C@@H]1C(C)(C)CCC[C@]21C,23.9,7.621602099051862,<rdkit.Chem.rdchem.Mol object at 0x000002235CD983C0>,314.4690000000001,5.489000000000005,0,2
CHEMBL226234,COc1cc2c(cc1C(C)C)C=C[C@@H]1C(C)(C)CCC[C@]21C,18.6,7.730487055782084,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98430>,298.4700000000001,5.929400000000006,0,1
CHEMBL1077603,C[C@]12CC[C@H](O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,93.14,7.030863766403288,<rdkit.Chem.rdchem.Mol object at 0x000002235CD984A0>,288.43100000000004,3.8792000000000035,1,2
CHEMBL2058265,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.6,8.337242168318426,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98510>,332.4840000000001,4.241800000000004,1,3
CHEMBL3326517,CCOC(=O)c1nnn(Cc2cccc(Br)c2)c1-c1ccc(Br)cc1,20.0,7.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98580>,465.1450000000001,4.695100000000003,0,4
CHEMBL3326520,CCOC(=O)c1nnn(Cc2cccc(Br)c2)c1-c1ccc(Cl)cc1,30.0,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000002235CD985F0>,420.6940000000001,4.586000000000003,0,4
CHEMBL3407538,C=C1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,250.0,6.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98660>,298.42600000000004,3.8213000000000026,1,2
CHEMBL3407537,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,88.6,7.052566278112949,<rdkit.Chem.rdchem.Mol object at 0x000002235CD986D0>,312.409,3.240700000000002,0,3
CHEMBL3407537,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,810.0,6.0915149811213505,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98740>,312.409,3.240700000000002,0,3
CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,7.7,8.113509274827518,<rdkit.Chem.rdchem.Mol object at 0x000002235CD987B0>,351.207,4.143880000000003,0,3
CHEMBL306022,CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,0.34,9.468521082957745,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98820>,302.50200000000007,5.336300000000006,1,1
CHEMBL177921,N#Cc1ccc2c(c1)CC/C2=C\c1c[nH]cn1,119.0,6.924453038607469,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98890>,221.263,2.76818,1,2
CHEMBL74339,CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12,1.3,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98900>,302.50200000000007,5.336300000000006,1,1
CHEMBL325346,N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1,39.0,7.4089353929735005,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98970>,370.39400000000006,1.20198,1,7
CHEMBL383807,Clc1ccc2c(c1)CC/C2=C\c1cccnc1,4260.0,5.370590400897281,<rdkit.Chem.rdchem.Mol object at 0x000002235CD989E0>,241.721,4.2218000000000035,0,1
CHEMBL53290,C1=C(CCCn2ccnc2)c2cccnc2CC1,220.0,6.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98A50>,239.322,3.0881000000000016,0,2
CHEMBL3421765,O=[N+]([O-])c1ccc(-c2cccnc2)c(OCc2ccccc2)c1,146.0,6.835647144215563,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98AC0>,306.32099999999997,4.235800000000002,0,4
CHEMBL364326,O=c1c(-c2ccccc2)c(SCc2cccnc2)oc2cc(O)ccc12,3.56,8.448550002027124,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98B30>,361.4220000000001,4.8529000000000035,1,5
CHEMBL185950,O=c1c(-c2ccc(O)cc2)c(SCc2ccncc2)oc2cc(O)ccc12,280.0,6.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98BA0>,377.4210000000001,4.558500000000002,2,6
CHEMBL2113619,C[C@]12CCC(=O)C(SCC#N)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,3700.0,5.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98C10>,357.5190000000002,4.671880000000004,0,4
CHEMBL189170,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccccc3)oc2c1,100000.0,4.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98C80>,374.4610000000001,5.760900000000004,0,4
CHEMBL185809,COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccncc3)oc2c1,900.0,6.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98CF0>,375.4490000000001,5.1559000000000035,0,5
CHEMBL361653,COc1ccc(-c2c(SCc3ccncc3)oc3cc(OC)ccc3c2=O)cc1,1690.0,5.772113295386326,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98D60>,405.4750000000002,5.164500000000004,0,6
CHEMBL361653,COc1ccc(-c2c(SCc3ccncc3)oc3cc(OC)ccc3c2=O)cc1,15.4,7.8124792791635365,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98DD0>,405.4750000000002,5.164500000000004,0,6
CHEMBL187185,Oc1ccc2c(c1)OC(c1ccccc1)CC2n1cncn1,12.1,7.91721462968355,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98E40>,293.326,3.0969000000000007,1,4
CHEMBL192306,COc1ccc2c(=O)c(-c3ccccc3)c(-n3ccnc3)oc2c1,100.0,7.0,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98EB0>,318.33200000000005,3.654300000000002,0,4
CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,6900.0,5.161150909262744,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98F20>,288.431,3.8808000000000025,1,2
CHEMBL67456,C[C@]12CCC3C(CCC4=CC(=O)CC[C@@]43S)C1CC[C@@H]2O,95.0,7.022276394711152,<rdkit.Chem.rdchem.Mol object at 0x000002235CD98F90>,306.47100000000006,3.5415000000000023,2,3
CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,0.2,9.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99000>,224.259,3.3931000000000022,0,2
CHEMBL404225,O=C1CC(c2ccccc2)Oc2c1ccc1ccccc21,1.3,8.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99070>,274.319,4.546300000000003,0,2
CHEMBL255108,N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,1540.0,5.812479279163537,<rdkit.Chem.rdchem.Mol object at 0x000002235CD990E0>,299.32900000000006,4.417980000000003,0,3
CHEMBL258257,N#Cc1cccc(C2CC(=O)c3ccc4ccccc4c3O2)c1,4.2,8.3767507096021,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99150>,299.32900000000006,4.417980000000003,0,3
CHEMBL300921,C[C@]12CCC3C(CCC4=CC(=O)[C@H]5CC[C@]43C5)C1CCC2=O,70.0,7.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x000002235CD991C0>,298.42600000000004,4.087400000000003,0,2
CHEMBL202612,COc1ccc2cc(C(O)(c3ccc(Cl)cc3)c3cccnc3)oc2c1,49.0,7.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99230>,365.8160000000001,4.774000000000004,1,4
CHEMBL1399,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,333.0,6.47755576649368,<rdkit.Chem.rdchem.Mol object at 0x000002235CD992A0>,293.374,2.9287600000000014,0,4
CHEMBL382902,COc1ccc2cc(C(c3ccc(Cl)cc3)n3cncn3)oc2c1,44.0,7.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99310>,339.78200000000004,4.3240000000000025,0,4
CHEMBL202020,COc1ccc(C(O)(c2cccnc2)c2cc3ccc(OC)cc3o2)cc1,160.0,6.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x000002235CD99380>,361.39700000000016,4.129200000000003,1,5
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,250000.0,3.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000002235CD993F0>,226.34400000000002,4.191500000000003,0,1
